audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-025003_bem_798_elicit_17.wav	yonsefye imyendele yakwe nalipwa	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-023738_bem_798_elicit_44.wav	ukuba icishiki caiminina kulenga ukuti bonse baletucindika ilintu baipuntulako	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200914-214639_bem_d31_elicit_13.wav	ama taila ya njinga nayapompwa	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-223427_bem_d31_elicit_26.wav	apo apali minshoni yakwe iitwa bibles for the world apa epa headquarters ya iko	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200918-082418_bem_d31_elicit_12.wav	ukulanda pafyo twapokelele yesu nefyo cacitike pamo ne nshita ne cifulo uko twali	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201002-085315_bem_798_elicit_23.wav	bushe ali nemyaka inga	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200922-110537_bem_d31_elicit_48.wav	umulimo ne mibele fya bakwilula	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200929-215409_bem_fb0_elicit_37.wav	ati kafikenipo mukwai natotele sana pa kungafwa ukupompe ncinga	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201002-003945_bem_fb0_elicit_34.wav	inshita cilya iyakuya ku shitesheni janet asantika nkashi yakwa peter mwansa pa kubapokelela cisumacisuma	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201011-234841_bem_fb0_elicit_28.wav	pa kulwisha pene kuti cila muntu naikwatila impeta shakwe bacela ne misumbi cintobentobe	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200918-110406_bem_798_elicit_45.wav	twishala kubuluba kila umo umo alete akanono akwete pakuti tukuule imishi ya sempya ne calo ca congo	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201001-174927_bem_fb0_elicit_17.wav	joni ala mukwai nabayeleta fye	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-023953_bem_d31_elicit_0.wav	twaishibo kuti bonse abasosa icine ku bantu balapakaswa	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201005-222019_bem_fb0_elicit_15.wav	awe bamwana guni bapusuka	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-031848_bem_d31_elicit_38.wav	ukufuma ku angola malawi naku madagascar	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201005-222019_bem_fb0_elicit_28.wav	inshimu shicimona umusungwisha wa lini uko wakashika panshi ngo muluba shayapo kuti ukwnunshapo shaumfwa icena icisuma sana	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-062208_bem_d31_elicit_16.wav	ni kwisa uko ro afumine	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201012-184652_bem_fb0_elicit_18.wav	ulucelo balungama mu mpanga mu mutengo atemwa mu cipya nelyo mu cibolya	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200924-222234_bem_798_elicit_15.wav	imikalile yakumfwanailangilila ifyo tuli bumba lya bantu abakakilwa pamo mu mikalile imo ine	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200924-181036_bem_798_elicit_17.wav	nalimo kuti waumfwila bamunonko nangu kuti watwalilila ukulolenkana ne cintu ulefwaya ukucita	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200924-204525_bem_798_elicit_15.wav	na imwe bene kuti mwaishibapo amabumba yamo ayainikwa peshiwi lye senge	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201006-002700_bem_fb0_elicit_36.wav	uko twapita tawakamoneko busanso bwa nsoka iyo ubwa kuti insoka ikasume umuntu	1
/scratch/skscla001/experiments/datasets/bemgen/audio/17-200916-152419_bem_346_elicit_32.wav	nakulile muno mumushi	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200918-110406_bem_798_elicit_13.wav	twilabatuka insele	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-143137_bem_d31_elicit_37.wav	abakweba ati ndiwa ncito pano nibanani	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201001-195552_bem_fb0_elicit_46.wav	ukukanasansamuka kwakwa janet asukile joni nao akumona	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200921-154823_bem_798_elicit_30.wav	mu calo ca australia umuntu onse alikwata insambu sha kuisalila nga alefwaya untu alefwaya nalintu alefwaya ukuupa	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201002-051828_bem_798_elicit_7.wav	ilyo twaleele apa nalotele twafika pacimana icikulu abantu baleta akabwato akafye fye akampenumpenu kabwato	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201001-172058_bem_fb0_elicit_3.wav	banalume nga mulefwaya ukucita ubwinga lilali	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201013-134137_bem_fb0_elicit_22.wav	nangu apo banika kalundwe na male	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201005-212422_bem_fb0_elicit_6.wav	namwishiba abantu batemwa sana nga basanga inama ya kutoola	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-050356_bem_798_elicit_32.wav	lyena twalekwata ukubila kwa palwalala kabili nalyo line tatwali abakumanisha ifyakubomfya	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201012-183344_bem_fb0_elicit_11.wav	mpaka balaseko nelyo imiku ine atemwa isano e pa kushula kapala onse ashala pambilibili	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201005-232741_bem_fb0_elicit_26.wav	ale we mwine sosa kanshi washile shani amalibu ukuti yacite ubusanso bwabipa ifi	1
/scratch/skscla001/experiments/datasets/bemgen/audio/13-201009-113828_bem_40e_elicit_2.wav	amwisusha ati tata finshi waisafwaya muno	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201006-110929_bem_fb0_elicit_54.wav	lesa mukulu nga kanshi finshi afukanya	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201013-132016_bem_fb0_elicit_40.wav	lelo nelyo cibe ifvo abali no twaice balapelako abanabo fyonse ifyo abaice baleta pakuti nabo balyeko	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201012-182347_bem_fb0_elicit_13.wav	abali lubali kulya balalwisha abanabo abali lubali lumbi	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-015847_bem_798_elicit_35.wav	nabo balalufwaailishafye	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-025003_bem_798_elicit_32.wav	amaano yali ayamupelenganya nganshi	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200929-223449_bem_fb0_elicit_1.wav	janet umutima wakalipa neco uyo mulumendo tamwishiba na kumwishiba aisapuminina fye pa kumutuka	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201002-091908_bem_798_elicit_31.wav	ekutila ifi fyacitika tewe fyabalilapo ukucitikila naifwe fyalitucitikile na banoko kumo	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-015824_bem_798_elicit_21.wav	akaice ubulanda bwabe cibi	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-122837_bem_d31_elicit_24.wav	awe teti incite icintu icamusango uyo iyo	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200929-215409_bem_fb0_elicit_16.wav	cikashana ee kwena shalikalipe mwe tamulemona jontie w aba kawe afililwe no kushiikata	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201002-002057_bem_fb0_elicit_17.wav	paul nao asuminisha amashiwi yasosa robin ati iyoo mune te cakwesha ukumuuma kwena	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-023738_bem_798_elicit_3.wav	nangu twingaya ku bulaya na mufyalo fya tupinda twalekana kanofye tukatontokanye ati nikwabene te mpanga yesu	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201013-132016_bem_fb0_elicit_21.wav	umusunga wa mpundu ulakaba sana tautalala bwangu	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201002-002057_bem_fb0_elicit_7.wav	mu cine naliumfwa mailo kuli odali umo ku cipatala	1
